New DNA Log: 2025-03-27 13:47:15
dna_id,parent_dna_id,generation,nbr_total_mutations,max_val_acc,nbr_of_macs,nbr_of_param,nbr_of_epochs
1,0,0,1,0.9509999752044678,2502400,96266,4
2,0,0,1,0.9589999914169312,2320000,35338,4
0,-1,0,0,0.9520000219345093,2440960,34826,4
3,0,0,1,0.949999988079071,2448000,41866,4
5,0,1,1,0.9670000076293945,2488960,82826,4
4,0,1,1,0.9350000023841858,2440960,34826,4
7,2,2,2,0.953000009059906,3046250,48813,4
6,2,2,2,0.9580000042915344,1650688,29578,4
8,5,3,2,0.9649999737739563,2488960,82954,4
9,5,3,2,0.9629999995231628,2957440,96266,4
