epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.2877666652202606,1.994471549987793,0.10333333164453506,4.115103244781494
1,0.42430001497268677,1.5478198528289795,0.1743333339691162,3.900867462158203
2,0.5260000228881836,1.3085249662399292,0.26366665959358215,3.251180410385132
3,0.5785666704177856,1.1788020133972168,0.5389999747276306,1.2745356559753418
4,0.6164000034332275,1.0834989547729492,0.5413333177566528,1.3704324960708618
5,0.6624666452407837,0.9561712741851807,0.6613333225250244,0.9167060256004333
6,0.6848333477973938,0.9017573595046997,0.6653333306312561,0.9285302758216858
7,0.7090333700180054,0.8268879652023315,0.6853333115577698,0.8678941130638123
8,0.7149333357810974,0.7996855974197388,0.737666666507721,0.7341636419296265
9,0.7296333312988281,0.7755984663963318,0.7433333396911621,0.7122446298599243
10,0.745033323764801,0.7308127284049988,0.7563333511352539,0.6915878057479858
11,0.7502000331878662,0.7148174047470093,0.7573333382606506,0.6775560975074768
