epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.3247666656970978,1.8276968002319336,0.22166666388511658,2.408963918685913
1,0.45116665959358215,1.4933090209960938,0.4179999828338623,1.6144194602966309
2,0.5089666843414307,1.3587034940719604,0.5059999823570251,1.3987376689910889
3,0.5483333468437195,1.258351445198059,0.5230000019073486,1.3685486316680908
4,0.5845333337783813,1.176318883895874,0.5333333015441895,1.299112319946289
5,0.6096333265304565,1.1162574291229248,0.5356666445732117,1.2935128211975098
6,0.6495333313941956,0.9958553314208984,0.6599999666213989,0.988079309463501
7,0.672166645526886,0.9342961311340332,0.6633332967758179,0.9511244893074036
8,0.6974999904632568,0.8576213121414185,0.6790000200271606,0.9323973059654236
9,0.7127333283424377,0.8213065266609192,0.6756666302680969,0.9275866746902466
10,0.7283999919891357,0.7787899971008301,0.7056666612625122,0.8659107685089111
11,0.7317333221435547,0.7546932101249695,0.7070000171661377,0.8603798747062683
