epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.23863333463668823,2.4762189388275146,0.11800000071525574,6.320102214813232
1,0.34236666560173035,1.7665729522705078,0.13433332741260529,4.241550922393799
2,0.38840001821517944,1.6533869504928589,0.15066666901111603,4.451901435852051
3,0.4147000014781952,1.5869688987731934,0.3036666512489319,2.0776493549346924
4,0.44200000166893005,1.5236120223999023,0.38600000739097595,1.8739017248153687
5,0.46310001611709595,1.4732929468154907,0.21299999952316284,3.4177443981170654
6,0.49549999833106995,1.399385690689087,0.39233332872390747,1.8835537433624268
7,0.513700008392334,1.3458372354507446,0.36899998784065247,2.020390510559082
8,0.5245333313941956,1.3180627822875977,0.4169999957084656,1.7540993690490723
9,0.5324666500091553,1.3000144958496094,0.4206666648387909,1.7145296335220337
10,0.5409666895866394,1.2859233617782593,0.4416666626930237,1.6425514221191406
11,0.5401333570480347,1.2825829982757568,0.4246666729450226,1.727372646331787
