epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.3811333477497101,1.7384321689605713,0.11266666650772095,3.3047239780426025
1,0.5442333221435547,1.2647610902786255,0.21899999678134918,2.8742828369140625
2,0.6205666661262512,1.0584839582443237,0.5989999771118164,1.1567442417144775
3,0.6704999804496765,0.9335243105888367,0.640333354473114,0.9961490631103516
4,0.7052333354949951,0.8337370753288269,0.6660000085830688,0.9686241149902344
5,0.7317667007446289,0.7637842893600464,0.6656666398048401,1.0191876888275146
6,0.7677000164985657,0.6546251177787781,0.7606666684150696,0.6920883059501648
7,0.7853000164031982,0.6056461930274963,0.765333354473114,0.6862949728965759
8,0.8142666816711426,0.5304648280143738,0.7866666316986084,0.6265237331390381
9,0.8250666856765747,0.4962540566921234,0.7793333530426025,0.6327390670776367
10,0.8418333530426025,0.44783467054367065,0.7896666526794434,0.5996361970901489
11,0.8492666482925415,0.42179039120674133,0.7976666688919067,0.6021036505699158
