epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.3738333284854889,1.8929120302200317,0.16333332657814026,3.232691764831543
1,0.5312333106994629,1.3047409057617188,0.21699999272823334,2.9700233936309814
2,0.604200005531311,1.1035505533218384,0.5956666469573975,1.1566288471221924
3,0.6535666584968567,0.9728941917419434,0.6526666879653931,0.9680657386779785
4,0.6920000314712524,0.8833057284355164,0.656333327293396,1.0609301328659058
5,0.7283000349998474,0.770658552646637,0.7363333106040955,0.7239166498184204
6,0.74590003490448,0.7208053469657898,0.7256666421890259,0.7821455001831055
7,0.7699999809265137,0.653674840927124,0.7599999904632568,0.6699960231781006
8,0.7813000082969666,0.624121904373169,0.7666666507720947,0.6484897136688232
9,0.7942000031471252,0.5878235101699829,0.7739999890327454,0.6352270245552063
10,0.7987000346183777,0.5705389380455017,0.7786666750907898,0.6376456022262573
11,0.8090000152587891,0.5429810285568237,0.7893333435058594,0.6156408786773682
