epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.31603333353996277,1.925668478012085,0.10266666859388351,4.399658679962158
1,0.42970001697540283,1.5592647790908813,0.12033332884311676,4.105828285217285
2,0.4943000078201294,1.4112591743469238,0.29866665601730347,2.293517827987671
3,0.5325333476066589,1.2934670448303223,0.27533334493637085,2.6803839206695557
4,0.5869666934013367,1.164634108543396,0.4833333194255829,1.5287387371063232
5,0.6067667007446289,1.101340889930725,0.4856666624546051,1.5151375532150269
6,0.6339333653450012,1.036267638206482,0.559333324432373,1.2739924192428589
7,0.6444666981697083,1.0021429061889648,0.4819999933242798,1.5870574712753296
8,0.6603666543960571,0.9596536159515381,0.5276666879653931,1.5062216520309448
9,0.6708333492279053,0.9316512942314148,0.4873333275318146,1.6376856565475464
10,0.6751333475112915,0.9114955067634583,0.5339999794960022,1.4428921937942505
